Date,HomeTeam,Score,AwayTeam
26-10-2025,Arsenal,1 - 0,Crystal Palace
18-10-2025,Fulham,0 - 1,Arsenal
04-10-2025,Arsenal,2 - 0,West Ham
28-09-2025,Newcastle,1 - 2,Arsenal
21-09-2025,Arsenal,1 - 1,Man City
13-09-2025,Arsenal,3 - 0,Nott'm Forest
31-08-2025,Liverpool,1 - 0,Arsenal
23-08-2025,Arsenal,5 - 0,Leeds
17-08-2025,Man United,0 - 1,Arsenal
26-10-2025,Aston Villa,1 - 0,Man City
19-10-2025,Tottenham,1 - 2,Aston Villa
05-10-2025,Aston Villa,2 - 1,Burnley
28-09-2025,Aston Villa,3 - 1,Fulham
21-09-2025,Sunderland,1 - 1,Aston Villa
13-09-2025,Everton,0 - 0,Aston Villa
31-08-2025,Aston Villa,0 - 3,Crystal Palace
23-08-2025,Brentford,1 - 0,Aston Villa
16-08-2025,Aston Villa,0 - 0,Newcastle
26-10-2025,Bournemouth,2 - 0,Nott'm Forest
18-10-2025,Crystal Palace,3 - 3,Bournemouth
03-10-2025,Bournemouth,3 - 1,Fulham
27-09-2025,Leeds,2 - 2,Bournemouth
21-09-2025,Bournemouth,0 - 0,Newcastle
13-09-2025,Bournemouth,2 - 1,Brighton
30-08-2025,Tottenham,0 - 1,Bournemouth
23-08-2025,Bournemouth,1 - 0,Wolves
15-08-2025,Liverpool,4 - 2,Bournemouth
25-10-2025,Brentford,3 - 2,Liverpool
20-10-2025,West Ham,0 - 2,Brentford
05-10-2025,Brentford,0 - 1,Man City
27-09-2025,Brentford,3 - 1,Man United
20-09-2025,Fulham,3 - 1,Brentford
13-09-2025,Brentford,2 - 2,Chelsea
30-08-2025,Sunderland,2 - 1,Brentford
23-08-2025,Brentford,1 - 0,Aston Villa
17-08-2025,Nott'm Forest,3 - 1,Brentford
25-10-2025,Man United,4 - 2,Brighton
18-10-2025,Brighton,2 - 1,Newcastle
05-10-2025,Wolves,1 - 1,Brighton
27-09-2025,Chelsea,1 - 3,Brighton
20-09-2025,Brighton,2 - 2,Tottenham
13-09-2025,Bournemouth,2 - 1,Brighton
